D002292	[{"id": "1363268", "name": "cabozantinib"}, {"id": "1363267", "name": "cabozantinib s-malate"}, {"id": "1603296", "name": "lenvatinib"}, {"id": "1604346", "name": "lenvatinib mesylate"}, {"id": "2534233", "name": "tivozanib"}, {"id": "5552", "name": "hydroxyurea"}, {"id": "5879", "name": "interferon alfa-2a"}, {"id": "5880", "name": "interferon alfa-2b"}, {"id": "5882", "name": "interferon gamma-1b"}, {"id": "732187", "name": "pazopanib hydrochloride"}, {"id": "714438", "name": "pazopanib"}, {"id": "597744", "name": "sorafenib tosylate"}, {"id": "495881", "name": "sorafenib"}, {"id": "616275", "name": "sunitinib malate"}, {"id": "1242999", "name": "axitinib"}, {"id": "657797", "name": "temsirolimus"}, {"id": "357977", "name": "sunitinib"}, {"id": "314687", "name": "interferon alfa-3n,human leukocyte derived"}, {"id": "253453", "name": "peginterferon alfa-2b"}, {"id": "120608", "name": "peginterferon alfa-2a"}, {"id": "72258", "name": "recombinant interferon beta-1b"}, {"id": "70223", "name": "aldesleukin"}, {"id": "59744", "name": "interferon alfacon-1"}, {"id": "10432", "name": "thalidomide"}, {"id": "1000112", "name": "medroxyprogesterone acetate"}, {"id": "2534245", "name": "tivozanib hydrochloride"}, {"id": "6691", "name": "medroxyprogesterone"}]
D011928	[{"id": "203132", "name": "papaverine hydrochloride"}, {"id": "203210", "name": "prazosin hydrochloride"}, {"id": "158387", "name": "papaverine codecarboxylate"}, {"id": "153679", "name": "lercanidipine hydrochloride"}, {"id": "235450", "name": "tolazoline hydrochloride"}, {"id": "135056", "name": "lercanidipine"}, {"id": "82033", "name": "isoxsuprine hydrochloride"}, {"id": "82060", "name": "nylidrin hydrochloride"}, {"id": "1998", "name": "captopril"}, {"id": "10634", "name": "tolazoline"}, {"id": "7895", "name": "papaverine"}, {"id": "8629", "name": "prazosin"}, {"id": "7595", "name": "nylidrin"}, {"id": "6066", "name": "isoxsuprine"}]
D004381	[{"id": "1487143", "name": "sucralfate malate"}, {"id": "1435522", "name": "esomeprazole strontium"}, {"id": "1297882", "name": "amoxicillin anhydrous"}, {"id": "4278", "name": "famotidine"}, {"id": "1294569", "name": "esomeprazole sodium"}, {"id": "283562", "name": "esomeprazole magnesium"}, {"id": "283742", "name": "esomeprazole"}, {"id": "236328", "name": "maprotiline mesylate"}, {"id": "236486", "name": "omeprazole magnesium"}, {"id": "267360", "name": "amoxicillin sodium"}, {"id": "203126", "name": "maprotiline hydrochloride"}, {"id": "203136", "name": "ranitidine hydrochloride"}, {"id": "226868", "name": "rabeprazole sodium"}, {"id": "235775", "name": "pirenzepine hydrochloride"}, {"id": "1792108", "name": "omeprazole sodium"}, {"id": "133008", "name": "amoxicillin trihydrate"}, {"id": "114979", "name": "rabeprazole"}, {"id": "2541", "name": "cimetidine"}, {"id": "81948", "name": "aluminum hydroxide, dried (USP)"}, {"id": "89858", "name": "aluminum carbonate"}, {"id": "91251", "name": "cimetidine hydrochloride"}, {"id": "1897", "name": "calcium carbonate"}, {"id": "47618", "name": "calcium gluceptate"}, {"id": "18789", "name": "basic aluminum carbonate gel"}, {"id": "55471", "name": "ranitidine bismuth citrate"}, {"id": "21212", "name": "clarithromycin"}, {"id": "23163", "name": "dihydroxyaluminum sodium carbonate"}, {"id": "42319", "name": "nizatidine"}, {"id": "29151", "name": "magaldrate"}, {"id": "9143", "name": "ranitidine"}, {"id": "17128", "name": "lansoprazole"}, {"id": "8627", "name": "prazepam"}, {"id": "10156", "name": "sucralfate"}, {"id": "8352", "name": "pirenzepine"}, {"id": "7646", "name": "omeprazole"}, {"id": "6581", "name": "magnesium hydroxide"}, {"id": "6646", "name": "maprotiline"}, {"id": "1806902", "name": "aluminum hydroxide sulfate (Al(OH)(SO4))"}, {"id": "612", "name": "aluminum hydroxide"}, {"id": "613", "name": "aluminum hydroxide gel"}, {"id": "1601995", "name": "esomeprazole magnesium dihydrate"}, {"id": "723", "name": "amoxicillin"}]
D016540	[]
D017180	[{"id": "1299236", "name": "lidocaine hydrochloride anhydrous"}, {"id": "1299924", "name": "edetate disodium, anhydrous"}, {"id": "11149", "name": "vasopressin (USP)"}, {"id": "4441", "name": "flecainide"}, {"id": "314610", "name": "racepinephrine hydrochloride"}, {"id": "236903", "name": "bopindolol hydrogen malonate"}, {"id": "3755", "name": "edetic acid"}, {"id": "3992", "name": "epinephrine"}, {"id": "203180", "name": "epinephrine bitartrate"}, {"id": "203191", "name": "metoprolol tartrate"}, {"id": "203222", "name": "esmolol hydrochloride"}, {"id": "155056", "name": "procainamide hydrochloride"}, {"id": "1422486", "name": "magnesium disodium EDTA"}, {"id": "221124", "name": "metoprolol succinate"}, {"id": "221126", "name": "moricizine hydrochloride"}, {"id": "3539", "name": "edetate disodium"}, {"id": "142130", "name": "acebutolol hydrochloride"}, {"id": "142440", "name": "lidocaine hydrochloride"}, {"id": "102313", "name": "metoprolol fumarate"}, {"id": "105745", "name": "trisodium edetate"}, {"id": "82084", "name": "propranolol hydrochloride"}, {"id": "1737", "name": "bretylium tosylate"}, {"id": "42686", "name": "flecainide acetate"}, {"id": "49737", "name": "esmolol"}, {"id": "19605", "name": "bopindolol"}, {"id": "19685", "name": "bretylium"}, {"id": "40169", "name": "moricizine"}, {"id": "1249590", "name": "epinephrine sulfate"}, {"id": "24255", "name": "epinephryl borate"}, {"id": "1202", "name": "atenolol"}, {"id": "9947", "name": "sotalol"}, {"id": "8700", "name": "procainamide"}, {"id": "8787", "name": "propranolol"}, {"id": "6918", "name": "metoprolol"}, {"id": "7008", "name": "sotalol hydrochloride"}, {"id": "149", "name": "acebutolol"}, {"id": "362", "name": "epinephrine hydrochloride"}, {"id": "6387", "name": "lidocaine"}]
D055752	[{"id": "266573", "name": "topotecan hydrochloride"}, {"id": "57308", "name": "topotecan"}, {"id": "2374729", "name": "lurbinectedin"}]
C536914	[]
D056844	[{"id": "236960", "name": "drotaverine hydrochloride"}, {"id": "23684", "name": "drotaverin"}]
D010149	[{"id": "1375412", "name": "bupivacaine hydrochloride anhydrous"}, {"id": "5489", "name": "hydrocodone"}, {"id": "5640", "name": "ibuprofen"}, {"id": "1298851", "name": "ropivacaine hydrochloride monohydrate"}, {"id": "597355", "name": "hydrocodone tannate"}, {"id": "314667", "name": "hydrocodone resin complex"}, {"id": "236539", "name": "ropivacaine hydrochloride"}, {"id": "236931", "name": "hydrocodone hydrochloride"}, {"id": "1429044", "name": "ibuprofen, sodium salt"}, {"id": "267396", "name": "bupivacaine hydrochloride"}, {"id": "4171", "name": "etidocaine"}, {"id": "203177", "name": "hydromorphone hydrochloride"}, {"id": "227221", "name": "etidocaine hydrochloride"}, {"id": "154985", "name": "nalbuphine hydrochloride"}, {"id": "159821", "name": "oxycodone terephthalate"}, {"id": "221107", "name": "hydrocodone polistirex"}, {"id": "3423", "name": "hydromorphone"}, {"id": "142439", "name": "hydrocodone bitartrate"}, {"id": "82063", "name": "oxycodone hydrochloride"}, {"id": "1815", "name": "bupivacaine"}, {"id": "36761", "name": "ibuprofen lysine"}, {"id": "47364", "name": "bromfenac sodium"}, {"id": "19737", "name": "bromfenac"}, {"id": "35780", "name": "ropivacaine"}, {"id": "7804", "name": "oxycodone"}, {"id": "7238", "name": "nalbuphine"}, {"id": "2198974", "name": "ropivacaine hydrochloride anhydrous"}]
D020370	[{"id": "284637", "name": "hylan G-F 20"}]
D001172	[{"id": "1358492", "name": "tofacitinib citrate"}, {"id": "5521", "name": "hydroxychloroquine"}, {"id": "5640", "name": "ibuprofen"}, {"id": "1357536", "name": "tofacitinib"}, {"id": "5781", "name": "indomethacin"}, {"id": "709271", "name": "certolizumab pegol"}, {"id": "819300", "name": "golimumab"}, {"id": "660767", "name": "oxaprozin potassium"}, {"id": "1311190", "name": "gold"}, {"id": "4980", "name": "aurothioglucose"}, {"id": "4981", "name": "gold sodium thiomalate"}, {"id": "484788", "name": "cyclosporine microemulsion"}, {"id": "612865", "name": "tocilizumab"}, {"id": "451796", "name": "chloroquine hydrochloride"}, {"id": "614391", "name": "abatacept"}, {"id": "4331", "name": "fenoprofen"}, {"id": "4419", "name": "fish oils"}, {"id": "4502", "name": "flurbiprofen"}, {"id": "287734", "name": "methotrexate sodium"}, {"id": "327361", "name": "adalimumab"}, {"id": "314293", "name": "acetylsalicylate sodium"}, {"id": "1294612", "name": "indomethacin sodium"}, {"id": "258329", "name": "indomethacin sodium trihydrate"}, {"id": "3827", "name": "enalapril"}, {"id": "3829", "name": "enalaprilat"}, {"id": "1545989", "name": "enalaprilat anhydrous"}, {"id": "1429044", "name": "ibuprofen, sodium salt"}, {"id": "267171", "name": "fenoprofen calcium"}, {"id": "267476", "name": "azathioprine sodium"}, {"id": "278567", "name": "valdecoxib"}, {"id": "203119", "name": "chloroquine sulfate"}, {"id": "203123", "name": "enalapril maleate"}, {"id": "203214", "name": "diclofenac sodium"}, {"id": "3008", "name": "cyclosporine"}, {"id": "191831", "name": "infliximab"}, {"id": "214555", "name": "etanercept"}, {"id": "3355", "name": "diclofenac"}, {"id": "3393", "name": "diflunisal"}, {"id": "153972", "name": "hydroxychloroquine sulfate"}, {"id": "236077", "name": "cyclosporine, modified"}, {"id": "140587", "name": "celecoxib"}, {"id": "142442", "name": "naproxen sodium"}, {"id": "2393", "name": "chloroquine"}, {"id": "121191", "name": "rituximab"}, {"id": "91351", "name": "flurbiprofen sodium"}, {"id": "81997", "name": "diclofenac potassium"}, {"id": "72435", "name": "anakinra"}, {"id": "1998", "name": "captopril"}, {"id": "68115", "name": "piroxicam-beta-cyclodextrin"}, {"id": "36761", "name": "ibuprofen lysine"}, {"id": "42935", "name": "tolmetin sodium"}, {"id": "10432", "name": "thalidomide"}, {"id": "20863", "name": "chloroquine phosphate"}, {"id": "20974", "name": "choline salicylate"}, {"id": "41493", "name": "meloxicam"}, {"id": "24605", "name": "etodolac"}, {"id": "10636", "name": "tolmetin"}, {"id": "27169", "name": "leflunomide"}, {"id": "1191", "name": "aspirin"}, {"id": "28199", "name": "ketoprofen lysine"}, {"id": "1227", "name": "auranofin"}, {"id": "1256", "name": "azathioprine"}, {"id": "31448", "name": "nabumetone"}, {"id": "32613", "name": "oxaprozin"}, {"id": "33787", "name": "piroxicam cinnamate"}, {"id": "16689", "name": "aceclofenac"}, {"id": "9524", "name": "sulfasalazine"}, {"id": "7258", "name": "naproxen"}, {"id": "10237", "name": "sulindac"}, {"id": "7975", "name": "penicillamine"}, {"id": "2640849", "name": "adalimumab-aacf"}, {"id": "8356", "name": "piroxicam"}, {"id": "2273510", "name": "rituximab-pvvr"}, {"id": "2612153", "name": "adalimumab-bwwd"}, {"id": "2639649", "name": "adalimumab-aaty"}, {"id": "2472325", "name": "rituximab-arrx"}, {"id": "2619155", "name": "adalimumab-afzb"}, {"id": "2266523", "name": "infliximab-axxq"}, {"id": "2640387", "name": "adalimumab-aqvh"}, {"id": "2196092", "name": "upadacitinib"}, {"id": "2640402", "name": "adalimumab-fkjp"}, {"id": "6851", "name": "methotrexate"}, {"id": "2641642", "name": "adalimumab-adaz"}, {"id": "2105824", "name": "rituximab-abbs"}, {"id": "2103480", "name": "etanercept-szzs"}, {"id": "2103477", "name": "adalimumab-adbm"}, {"id": "2047232", "name": "baricitinib"}, {"id": "2103479", "name": "adalimumab-atto"}, {"id": "2103476", "name": "infliximab-qbtx"}, {"id": "1790539", "name": "infliximab-dyyb"}, {"id": "1927283", "name": "infliximab-abda"}, {"id": "6142", "name": "ketoprofen"}, {"id": "1923319", "name": "sarilumab"}]
