MSH_id	name
D002292	Carcinoma, Renal Cell
D000230	Adenocarcinoma
D007680	Kidney Neoplasms
D002277	Carcinoma
D014571	Urologic Neoplasms
D007674	Kidney Diseases
D009375	Neoplasms, Glandular and Epithelial
D014565	Urogenital Neoplasms
D014570	Urologic Diseases
D009370	Neoplasms by Histologic Type
D052776	Female Urogenital Diseases
D052801	Male Urogenital Diseases
D000091642	Urogenital Diseases
D009371	Neoplasms by Site
D009369	Neoplasms
D005261	Female Urogenital Diseases and Pregnancy Complications
U000006	Diseases (MeSH Category)
U000019	Topical Descriptor
U000017	MeSH Descriptors
D011928	Raynaud Disease
D000090122	Livedoid Vasculopathy
D016491	Peripheral Vascular Diseases
D017445	Skin Diseases, Vascular
D013927	Thrombosis
D014652	Vascular Diseases
D012871	Skin Diseases
D016769	Embolism and Thrombosis
D002318	Cardiovascular Diseases
D017437	Skin and Connective Tissue Diseases
D004381	Duodenal Ulcer
D010437	Peptic Ulcer
D004378	Duodenal Diseases
D013272	Stomach Diseases
D007410	Intestinal Diseases
D005767	Gastrointestinal Diseases
D004066	Digestive System Diseases
D016540	Smoking Cessation
D015438	Health Behavior
D001519	Behavior
D001520	Behavior and Behavior Mechanisms
U000014	Psychiatry and Psychology (MeSH Category)
D017180	Tachycardia, Ventricular
D013610	Tachycardia
D000075224	Cardiac Conduction System Disease
D001145	Arrhythmias, Cardiac
D006331	Heart Diseases
D010335	Pathologic Processes
D013568	Pathological Conditions, Signs and Symptoms
D055752	Small Cell Lung Carcinoma
D002283	Carcinoma, Bronchogenic
D001984	Bronchial Neoplasms
D008175	Lung Neoplasms
D001982	Bronchial Diseases
D012142	Respiratory Tract Neoplasms
D008171	Lung Diseases
D012140	Respiratory Tract Diseases
D013899	Thoracic Neoplasms
D056844	Renal Colic
D010146	Pain
D012816	Signs and Symptoms
D012677	Sensation
D009461	Neurologic Manifestations
D009424	Nervous System Physiological Phenomena
D011603	Psychophysiology
D009422	Nervous System Diseases
D055687	Musculoskeletal and Neural Physiological Phenomena
D001525	Behavioral Sciences
D011579	Psychological Phenomena
D010827	Physiology
U000004	Phenomena and Processes (MeSH Category)
D004191	Behavioral Disciplines and Activities
D001690	Biological Science Disciplines
D010811	Natural Science Disciplines
U000013	Disciplines and Occupations (MeSH Category)
D010149	Pain, Postoperative
D011183	Postoperative Complications
D020370	Osteoarthritis, Knee
D010003	Osteoarthritis
D001168	Arthritis
D012216	Rheumatic Diseases
D007592	Joint Diseases
D003240	Connective Tissue Diseases
D009140	Musculoskeletal Diseases
D001172	Arthritis, Rheumatoid
D001327	Autoimmune Diseases
D007154	Immune System Diseases
D003424	Crohn Disease
D015212	Inflammatory Bowel Diseases
D005759	Gastroenteritis
D013262	Stevens-Johnson Syndrome
D006968	Hypersensitivity, Delayed
D004892	Erythema Multiforme
D003875	Drug Eruptions
D013280	Stomatitis
D006967	Hypersensitivity
D004890	Erythema
D012872	Skin Diseases, Vesiculobullous
D004342	Drug Hypersensitivity
D003872	Dermatitis
D009059	Mouth Diseases
D012877	Skin Manifestations
D064420	Drug-Related Side Effects and Adverse Reactions
D009057	Stomatognathic Diseases
D064419	Chemically-Induced Disorders
D013282	Stomatitis, Denture
D012393	Rosacea
D010032	Otitis Externa
D010031	Otitis
D004427	Ear Diseases
D010038	Otorhinolaryngologic Diseases
D013180	Sprains and Strains
D014947	Wounds and Injuries
D015658	HIV Infections
D007153	Immunologic Deficiency Syndromes
D016180	Lentivirus Infections
D015229	Sexually Transmitted Diseases, Viral
D000086982	Blood-Borne Infections
D012192	Retroviridae Infections
D014777	Virus Diseases
D012749	Sexually Transmitted Diseases
D003141	Communicable Diseases
D012327	RNA Virus Infections
D007239	Infections
D000091662	Genital Diseases
D020969	Disease Attributes
D012772	Shock, Septic
D018746	Systemic Inflammatory Response Syndrome
D018805	Sepsis
D007249	Inflammation
D012769	Shock
D013585	Synovitis
D013224	Status Asthmaticus
D001249	Asthma
D008173	Lung Diseases, Obstructive
D012130	Respiratory Hypersensitivity
D006969	Hypersensitivity, Immediate
D000152	Acne Vulgaris
D017486	Acneiform Eruptions
D012625	Sebaceous Gland Diseases
D000172	Acromegaly
D006964	Hyperpituitarism
D001849	Bone Diseases, Endocrine
D010900	Pituitary Diseases
D004700	Endocrine System Diseases
D001847	Bone Diseases
D007027	Hypothalamic Diseases
D001927	Brain Diseases
D002493	Central Nervous System Diseases
D016889	Endometrial Neoplasms
D014594	Uterine Neoplasms
D005833	Genital Neoplasms, Female
D014591	Uterine Diseases
D005831	Genital Diseases, Female
D008881	Migraine Disorders
D051270	Headache Disorders, Primary
D020773	Headache Disorders
D011018	Pneumonia, Pneumococcal
D018410	Pneumonia, Bacterial
D011008	Pneumococcal Infections
D001424	Bacterial Infections
D011014	Pneumonia
D013290	Streptococcal Infections
D001423	Bacterial Infections and Mycoses
D012141	Respiratory Tract Infections
D016908	Gram-Positive Bacterial Infections
D000775	Anesthesia, Spinal
D000765	Anesthesia, Conduction
D000758	Anesthesia
D000760	Anesthesia and Analgesia
U000001	Analytical, Diagnostic and Therapeutic Techniques and Equipment (MeSH Category)
D000086722	Rhinorrhea
D012818	Signs and Symptoms, Respiratory
D000080223	Chronic Urticaria
D002908	Chronic Disease
D014581	Urticaria
D013313	Stress Disorders, Post-Traumatic
D040921	Stress Disorders, Traumatic
D000068099	Trauma and Stressor Related Disorders
D001523	Mental Disorders
D003924	Diabetes Mellitus, Type 2
D003920	Diabetes Mellitus
D044882	Glucose Metabolism Disorders
D008659	Metabolic Diseases
D009750	Nutritional and Metabolic Diseases
D011655	Pulmonary Embolism
D004617	Embolism
D014397	Tuberculosis, Pulmonary
D014376	Tuberculosis
D009164	Mycobacterium Infections
D000193	Actinomycetales Infections
D011349	Proctitis
D012002	Rectal Diseases
D007751	Labor, Induced
D036861	Delivery, Obstetric
D013513	Obstetric Surgical Procedures
D013514	Surgical Procedures, Operative
D009293	Opioid-Related Disorders
D000079524	Narcotic-Related Disorders
D019966	Substance-Related Disorders
D000072861	Phobia, Social
D010698	Phobic Disorders
D001008	Anxiety Disorders
D009290	Narcolepsy
D006970	Disorders of Excessive Somnolence
D020919	Sleep Disorders, Intrinsic
D020920	Dyssomnias
D012893	Sleep Wake Disorders
D003554	Cystinosis
D016464	Lysosomal Storage Diseases
D008661	Metabolism, Inborn Errors
D030342	Genetic Diseases, Inborn
D009358	Congenital, Hereditary, and Neonatal Diseases and Abnormalities
D012221	Rhinitis, Allergic, Perennial
D065631	Rhinitis, Allergic
D012220	Rhinitis
D009668	Nose Diseases
D013345	Subarachnoid Hemorrhage
D020300	Intracranial Hemorrhages
D006470	Hemorrhage
D002561	Cerebrovascular Disorders
D012559	Schizophrenia
D019967	Schizophrenia Spectrum and Other Psychotic Disorders
D009335	Necrobiosis Lipoidica
D017441	Necrobiotic Disorders
D012875	Skin Diseases, Metabolic
D003095	Collagen Diseases
D010518	Periodontitis
D010510	Periodontal Diseases
D020961	Lewy Body Disease
D003704	Dementia
D020734	Parkinsonian Disorders
D000080874	Synucleinopathies
D019965	Neurocognitive Disorders
D001480	Basal Ganglia Diseases
D009069	Movement Disorders
D057165	Proteostasis Deficiencies
D019636	Neurodegenerative Diseases
D004828	Epilepsies, Partial
D004827	Epilepsy
