from	to
D020820	D009069
D014555	D014570
D050177	D044343
D005534	D009140
D010254	D009668
D009080	D008206
D014526	D014522
D004831	D000073376
D000690	D016472
D000886	D010808
D007037	D013959
D012859	D014987
D000069544	D004660
D012173	D012164
D018190	D009370
D003881	D012874
D012749	D007239
D004775	D014555
D011528	D010272
D018178	D012327
D015812	D005901
D015673	D004679
D009423	D009422
D006725	D017206
D018254	D000236
D013174	D003881
D010335	D013568
D012221	D065631
D008223	D009370
D000092464	D001134
D019578	D000080874
D014603	D005128
D014591	D005831
D014777	D007239
D000086002	D010997
D006058	D004700
D000748	D000740
D006099	D008232
D009101	D010265
D005141	D005128
D003072	D019965
D036981	D005208
D003711	D009422
D014594	D014591
D009332	D006725
D002389	D019954
D007638	D007637
D010033	D010031
D018783	D007172
D020918	D001342
D000544	D003704
D017486	D012871
D006259	D020196
D000224	D000309
D013119	D013118
D000856	D001068
D000077195	D006258
D003141	D020969
D005356	D009135
D012871	D017437
D012220	D009668
D009401	D007674
D012677	D011603
D015270	D009165
D004401	D001184
D055732	D001228
D015817	D007239
D002561	D014652
D006402	D006425
D010997	D010995
D003225	D016855
D001649	D001660
D013064	D007806
D012734	D014564
D020920	D012893
D003704	D019965
D015614	D008206
D003371	D012818
D008181	D005921
D007968	D003711
D011634	D006262
D014694	D006331
D007638	D015352
D006509	D006525
D007411	D007410
D016489	D014949
D009302	D010608
D008181	D008180
D003704	D001927
D015043	D010437
D012480	D004756
D005128	U000006
D000886	D001699
D003876	D012873
D019973	D019966
D015470	D007951
D001837	D000886
D010024	D001851
D007172	D005832
D004812	D011634
D034721	D008415
D017726	D012173
D004832	D000073376
D010911	D004701
D009902	D009901
D011928	D016491
D016751	D012327
D012164	D005128
D019578	D009069
D014328	D009373
D019937	D003933
D016918	D001170
D014592	D014591
D009404	D009401
D006509	D000086982
D016403	D016393
D001172	D001168
D002780	D008107
D000789	D000787
D020274	D001327
D005185	D005833
D015499	D030342
D019966	D001523
D018241	D018242
D007500	D014606
D004378	D007410
D011115	D010523
D019046	D019337
D034161	D007239
D016855	D002043
D014804	D001361
D016411	D016399
D006947	D014883
D000080874	D057165
D014848	D014847
D044584	D018299
D006373	D010272
D013920	D013922
D051270	D020773
D006298	D006281
D003453	D009181
D004812	D008919
D012877	D012816
D001063	D002430
D018204	D009370
D014786	D005128
D007766	D005128
D014571	D014565
D012875	D012871
D006528	D000230
D004938	D005770
D000095542	D006402
D005134	D005128
D015526	D003704
D052256	D009135
D007153	D007154
D001015	D001018
D009083	D016464
D008288	D000096724
D011634	D008511
D002289	D002283
D020314	D009181
D010265	D001796
D003371	D012120
D000690	D057177
D012677	D009424
D006816	D001480
D001525	D004191
D009371	D009369
D017194	D017190
D006646	D015614
D020919	D020920
D007500	D007499
D014564	D000013
D003457	D003048
D008577	D016543
D001650	D001649
D004679	D000090862
D005770	D005767
D004671	D018792
D004892	D012872
D021441	D044584
D013106	D008064
D001171	D001327
D003092	D005759
D030361	D015229
D009101	D020141
D004890	D012877
D001404	D011528
D014388	D000092225
D014839	D012817
D049628	D001837
D000077195	D002294
D019960	D001523
D003874	D001327
D007968	D056784
D009901	D003389
D009668	D012140
D001229	D008172
D020520	D020521
D050723	D014947
D001778	D006402
D020141	D014652
D057177	D057165
D008103	D008107
D008599	D010335
D009447	D018241
D002280	D002277
D006432	D008664
D012893	D009461
D000079426	D007239
D001997	D055397
D003480	D000308
D000745	D000743
D005185	D005184
D017282	D000079426
D018207	D054973
D012874	D012871
D012778	D008286
D011349	D012002
D009468	D009422
D017681	D004802
D008258	D020141
D000752	D000749
D015991	D011634
D018302	D009375
D003093	D015212
D047808	D012734
D019190	D019189
D007896	D056986
D020274	D009422
D018273	D010190
D020268	D020751
D013771	D006330
U000013	U000019
D000795	D013106
D029424	D008173
D017202	D006331
D013733	D005832
D006425	U000006
D001824	D010808
D002277	D009375
D014397	D014376
D019337	D006402
D011252	D011248
D007644	D012873
D006258	D009371
D016870	D016905
D015616	D015614
D010930	D015009
D000090122	D013927
D002276	D000230
D010608	D009057
D001005	D012004
D009298	D011127
D014947	U000006
D010123	D017194
D015432	D007154
D017599	D009380
D018207	D018205
D001932	D016543
D019966	D064419
D015179	D012002
D019694	D006509
D003924	D003920
D012678	D009461
D007634	D003316
D018376	D000013
D010190	D004701
D001906	D003015
D009335	D012875
D009336	D010335
D006526	D000086982
D000015	D000013
D000196	D000193
D008175	D012142
D013922	D001791
D017563	D008171
D020250	D014839
D013262	D004892
D001850	D001847
D004191	U000014
D014927	D006330
D013625	D017445
D000070599	D014947
D010510	D009059
D020966	D009135
D019189	D008659
D015663	D010024
D011658	D005355
D000307	D004700
D010051	D005833
D009083	D002239
D005355	D010335
D012421	D014947
D010279	D004700
D000075224	D006331
D003556	D001745
D014009	D014005
D004823	D005832
D008595	D008599
D004418	D006333
D001855	D006402
D001749	D001745
D015499	D007674
D020140	D016464
D007968	D018792
D000067029	D001824
D009372	D003240
D003320	D015817
D013345	D020300
D006954	D015228
D008105	D008103
D004829	D004827
D006331	D002318
D012130	D006969
D014069	D010612
D009386	D030342
D016410	D016399
D020969	D010335
D012625	D012871
D008172	D009181
D000068105	D019964
D002494	D007239
D010612	D012141
D055687	U000004
D003320	D007634
D015140	D056784
D013226	D012640
D013920	D001778
D015266	D018278
D006474	D006402
D012288	D000079426
D007868	D012871
D001002	D007674
D008654	D018301
D013971	D006980
D010272	D007239
D020258	D009422
D016920	D008581
D011252	D009369
D003093	D003092
D054990	D011658
D013733	D006058
D006009	D020140
D008052	D008661
D004941	D005759
D055756	D008577
D009894	D007239
D017728	D016399
D000152	D017486
D004701	D009371
D006560	D008047
D014606	D015864
D051437	D007674
D010049	D000291
D010493	D006331
D012772	D018746
D020140	D020739
D014571	D014570
D016868	D004756
D003003	D014201
D001845	D001847
D004374	D006330
D014098	D014076
D000608	D015499
D013899	D009371
D003231	D003229
D003324	D001161
D009083	D017520
D008180	D001327
D003449	D020141
D011666	D014694
D000740	D006402
D057165	D008659
D003389	D009422
U000004	U000019
D010300	D000080874
D012640	D009461
D006949	D050171
D005356	D012216
D008047	D009059
D013262	D003875
D002694	D016905
D006689	D008223
D012142	D012140
D011529	D011528
D001899	D013145
D008224	D008228
D003424	D015212
D006527	D009069
D004660	D000090862
D006099	D010335
D001824	D010829
D006561	D006566
D009765	D050177
D004775	D019960
D013145	D016905
D010689	D016491
D004802	D007960
D009372	D018204
D013610	D000075224
D003586	D006566
D006934	D014883
D010032	D010031
D012002	D007410
D012130	D012140
D015009	D004756
D010190	D004067
D011041	D064419
D008193	D016905
D020278	D003711
D020806	D001424
D010954	D054219
D008286	D007410
D017824	D001845
D011603	D001525
D003865	D003866
D004938	D006258
D004833	D004828
D010149	D010146
D004778	U000008
D005156	D005155
D000291	D005831
D007235	D007232
D009461	D012816
D009128	D009122
D006453	D006402
D016640	D011248
D004756	D016905
D010031	D004427
D006470	D010335
D020329	D009069
D019052	D011644
D018410	D011014
D017520	D003240
D014390	D020306
D013921	D000095542
D000309	D000307
D007951	D007938
D000090122	D017445
D000787	D017202
D001228	D009181
D018205	D018204
D000544	D024801
D002561	D001927
D015432	D005921
D012897	D014777
D009260	D012871
D008133	D006330
D014277	D020433
D001835	D000067029
D012175	D015785
D015526	D015658
D009290	D006970
D009230	D017520
D011787	D006298
D008113	D004067
D003108	D007410
D008581	D000090862
D000312	D043202
D012873	D030342
D005208	D009140
D025241	D001168
D014927	D011226
D012213	D001168
D054969	D001342
D003234	D003231
D012148	D009422
D008258	D008232
D013922	D009196
D014842	D001791
D016889	D014594
D012120	D012140
D003560	D009369
D003929	D048909
D004938	D004935
D052776	D005261
D007592	D009140
D000090862	D007249
D016489	D006259
D007238	D009336
D001750	D001745
D000437	D019973
D018746	D007249
D007968	D027601
D010245	D008664
D014570	D000091642
D010391	D012872
D012373	D000073605
D006505	D008107
D006951	D006949
D001196	D017191
D016460	D017441
D013736	D013733
D002494	D002493
D002430	D002429
D012507	D008232
D010146	D012677
D012327	D014777
D001941	D012871
D001906	D020258
D008595	D014592
D012859	D015352
D014570	D052801
D010673	D010235
D020422	D010523
D005184	D000291
D007232	D009358
D004381	D010437
D009135	D009140
D016472	D019636
D018295	D009375
D002761	D001649
D006816	D003704
D011183	D010335
D013280	D009059
D014123	D003048
D004476	D012873
D012816	D013568
D004827	D001927
D001528	D014657
D048788	D010829
D011656	D029424
D015451	D002908
D009062	D006258
D001229	D012130
D009461	D009422
D003047	D009181
D001281	D001145
D006528	D008113
D008088	D016908
D000096724	D000079426
D014860	D017193
D004604	D008209
D049628	D006128
D054198	D007945
D020250	D011183
D015154	D003680
D006816	D003072
D006069	D015231
D001249	D001982
D006964	D010900
D011618	D019967
D005910	D018302
D009901	D005128
D017441	D003095
D020271	D019636
D005873	D007411
D000079524	D019966
D000787	D002637
D009136	D030342
D009375	D009370
D001528	D017445
D008607	D019954
D015463	D007945
D015212	D007410
D002043	D000086103
D018437	D010264
D007174	D001523
D001229	D055732
D003928	D007674
D000765	D000758
D000073376	D004827
D001423	D007239
D051436	D051437
D007238	D007511
D007172	D020018
D013274	D005770
D000749	D000748
D017726	D015828
U000014	U000019
D009120	D009135
D000080984	D007232
D013118	D002493
D013927	D016769
D014657	D014652
D001172	D012216
D018347	D004266
D000745	D030342
D001832	D012816
D003147	D019954
D014564	D000091642
D008173	D008171
D001249	D012130
D014652	D002318
D009190	D001855
D007511	D010335
D010996	D010995
D016532	D009083
D010229	D009181
D020300	D002561
D013166	D001850
D014522	D014570
D009304	D010612
