from	to
D014552	1870193
D006934	1299924
D000740	2628210
D009182	55062
D003324	2569977
D008088	267360
D013290	7455
D010033	253155
D013119	3106
D006527	7975
D006073	8698
D006484	8163
D006333	51253
D001714	28439
D006973	7973
D015464	82124
D006069	1545999
D009101	221085
D010146	59078
D001991	138099
D010051	2640208
D016066	155036
D011565	9907
D002289	1727455
D001145	203114
D011618	221153
D014552	4450
D004415	4278
D001281	49247
D014526	4053
D000724	2197593
D013226	203085
D006689	10114
D009101	5880
D001404	1426899
D006356	29151
D013290	203172
D006526	N0000182639
D015658	1721604
D015658	190521
D001171	327361
D011008	203133
D009101	59744
D014552	101299
D013964	1546415
D007938	6064
D002289	2362165
D001991	235762
D003047	2588846
D015179	4488
D000152	24351
D014397	1546009
D018783	598
D006973	142144
D003865	734064
D011552	2191
D055953	2105824
D006973	203222
D013617	203114
D004487	8565
D013921	1546207
D010146	3648
D002292	5879
D002289	328134
D001289	2562176
D013921	2044896
D009101	2594775
D010033	10171
D003093	2640849
D010051	236234
D011552	235552
D006973	9997
D012128	1591923
D014552	235559
D006333	214354
D013736	6851
D009404	38413
D003480	677
D006973	4419
D016410	877510
D001714	1667655
D012798	1742407
D014581	58275
D014277	236460
D012120	7242
D005185	2599041
D012507	55062
D000544	9639
D006333	314845
D010033	21212
D010003	10636
D010787	45045
D002179	21090
D005873	31819
D001281	102313
D006973	6860
D003233	11404
D005902	23410
D003424	2641642
D014581	686390
D006973	1369
D012221	236260
D004381	1792108
D007896	1494066
D020795	3355
D003093	2878
D010146	91124
D009404	19008
D001991	21212
D001289	540810
D001906	1722702
D010229	2588846
D014552	2551
D015658	N0000175616
D005902	353497
D004827	1927
D005902	8163
D006402	29917
D003876	55063
D003928	235758
D012772	2378841
D007938	3265
D005776	3007
D001289	60841
D014552	267360
D009220	57258
D001714	2626
D008223	1597876
D018410	20493
D006333	59743
D006973	235759
D003924	1486966
D001145	142440
D000749	1025342
D006973	236066
D009290	6901
D007006	37859
D015212	3538
D011565	1894
D006229	10762
D007868	41208
D010300	1589
D003704	1373
D000152	1545999
D007938	287734
D019955	6448
D004415	18789
D005756	89784
D005901	106047
D013920	120608
D012852	7247
D006966	142426
D011472	42580
D011087	1193325
D006333	6185
D018783	1309396
D010612	407888
D003233	52177
D043183	89784
D015228	323828
D011183	8825
D013290	20473
D010033	18631
D015228	36567
D007868	108118
D006606	1292
D008181	221085
D004942	203136
D001068	1298842
D015663	73056
D009182	6851
D003876	2591476
D009290	725
D019694	300195
D018805	203133
D009203	203211
D001748	8149
D001991	3714
D017229	54749
D004942	47618
D009798	89792
D005512	42612
D009182	29917
D009765	58157
D014552	7517
D012559	885604
D006356	91251
D011618	2406
D012221	30145
D010051	5657
D012221	1767
D004381	1294569
D006356	29170
D009404	38546
D055752	266573
D010051	10473
D010146	20859
D012221	1546384
D013158	46049
D010383	235355
D013290	1299904
D007246	142426
D008288	2054091
D006973	142146
D003924	356773
D004487	4109
D003874	3265
D009128	52101
D014581	42319
D043183	1653781
D006528	72258
D005902	6826
D009404	2878
D018410	228750
D009293	6813
D003231	3538
D001991	1926505
D014552	1999763
D003324	1483793
D004487	11371
D008258	1442981
D003924	60548
D011628	37864
D001228	1720882
D014555	21183
D010146	202723
D054198	221087
D014397	3265
D005764	89858
D014594	24614
D010146	7005
D003556	81981
D001145	6926
D001172	1927283
D005148	235482
D014552	82122
D006333	236878
D000152	2059018
D013272	47181
D010146	2410
D003324	6472
D011470	236495
D013585	268872
D006973	5764
D006938	341248
D006470	11274
D015179	120608
D003556	161623
D013585	34374
D011008	82036
D015658	117466
D012559	51272
D014010	32638
D012507	29917
D009771	2597
D006974	9895
D001289	1099738
D013920	59744
D007868	215664
D001172	2103479
D002289	2046138
D013290	10395
D012559	91130
D010146	235416
D006973	29046
D006470	1367075
D006229	17268
D000224	165516
D008258	2346
D005185	1918231
D046152	1312397
D001289	7531
D011655	280611
D013617	203191
D008595	405416
D006974	8149
D011183	82118
D012221	10847
D010146	203174
D001249	203124
D000544	1314420
D010051	2555
D001282	155056
D000086382	2463114
D001172	20974
D013290	10110
D010003	10237
D013921	5882
D013921	253453
D018410	2192
D034721	282388
D005148	3254
D006560	281
D015812	103244
D003093	235482
D009120	7716
D005148	27197
D005764	17128
D008228	6466
D012220	221096
D007022	1249590
D007006	283550
D001172	612865
D015270	2592
D007680	2627648
D001068	32937
D006526	1734628
D003233	29439
D006333	20352
D019966	82011
D017086	2610349
D006973	8332
D001249	71533
D018805	6922
D007246	25357
D006467	4257
D018410	384455
D000789	5224
D003924	317598
D011565	356988
D011618	61381
D009230	10814
D003233	28144
D011552	3925
D008228	2555
D000740	31495
D006973	235959
D001850	2194
D003424	287734
D000152	235418
D003233	91066
D015658	70223
D001172	28199
D006973	259335
D009765	33272
D003874	155323
D010510	2359
D004415	29151
D013274	287734
D003924	274332
D008881	2282322
D009290	30125
D010149	19737
D012559	41996
D006934	8638
D009182	34372
D006976	82027
D013224	3920
D016403	2174091
D001228	732
D004487	140480
D013585	8640
D014594	3478
D017180	40169
D013272	19478
D001249	27723
D004828	235408
D009182	5882
D012878	5882
D008288	8689
D015179	59744
D012772	91167
D000236	221130
D012004	51499
D003093	27197
D012628	8640
D005148	108118
D000740	2262543
D006962	1876119
D012128	104463
D014552	78902
D013290	2105975
D001932	5882
D001932	253453
D001172	484788
D003876	215664
D012852	228476
D003093	2103477
D015179	10114
D005873	430
D006467	2641610
D009771	2605948
D003324	2447
D005764	1792108
D012373	23663
D013224	27199
D010510	1311371
D003928	214354
D006356	612
D012640	684879
D014069	47835
D018410	1306064
D008881	37418
D006069	7821
D001172	4502
D000795	2054252
D001750	1225
D007500	21655
D007938	22690
D011618	186024
D011618	10800
D014123	9010
D011655	17941
D018805	2194
D013290	227214
D001145	49247
D010033	1546020
D008288	6694
D012221	54828
D013964	10572
D006934	3539
D000236	1760
D011565	4182
D013964	325521
D003371	236236
D004374	598
D011628	37858
D013617	11170
D020918	448
D006484	235482
D014552	7983
D006973	36908
D005764	203136
D010146	2605948
D013290	4058
D043183	152021
D016403	2637392
D007500	10869
D012507	34372
D014552	47835
D014581	236815
D005764	47618
D014552	9893
D007868	23033
D014552	2968
D011552	388
D016532	644101
D043183	3361
D011629	6384
D010612	20493
D005776	46049
D010003	278567
D019694	1721604
D010300	236190
D001171	10636
D014927	1306123
D014552	327584
D006069	139462
D006973	732498
D018410	236647
D009203	11055
D005873	4601
D001145	N0000175426
D012559	236525
D003457	31819
D013964	466523
D000741	711942
D012628	19254
D003865	1439834
D010032	1049105
D010146	73032
D001145	281189
D002862	4451
D020803	281
D018805	204144
D002545	4177
D004775	5691
D005148	215664
D011565	4458
D015212	21232
D000562	203119
D004415	91251
D003877	27196
D003234	235851
D003324	203144
D015663	236083
D007938	268872
D005764	6058
D009404	3002
D006484	27197
D009120	202723
D004415	29170
D007938	34374
D001228	28031
D011552	1546000
D007896	N0000190851
D003556	47835
D010146	1294612
D006973	83515
D003874	22690
D014581	104592
D011618	3648
D002289	2549199
D020388	22396
D003371	5032
D006934	34376
D001168	36108
D006974	3829
D001249	3966
D001282	7008
D013921	2045727
D005901	1817
D001145	81947
D000740	2047589
D013617	102313
D012559	236771
D004827	25480
D004487	268872
D009404	2396
D000152	7821
D014552	142135
