RXNORM_id	name	moa	parents	pe
1363268	cabozantinib	Tyrosine Kinase Inhibitors|Protein Kinase Inhibitors	C [Preparations]|Kinase Inhibitor	Cellular Proliferation Alteration
1363267	cabozantinib s-malate	Tyrosine Kinase Inhibitors	C [Preparations]	Cellular Proliferation Alteration
1603296	lenvatinib	Protein Kinase Inhibitors|Receptor Tyrosine Kinase Inhibitors	L [Preparations]|Kinase Inhibitor	Decreased Endothelial Proliferation
1604346	lenvatinib mesylate	Receptor Tyrosine Kinase Inhibitors	L [Preparations]	Decreased Endothelial Proliferation
2534233	tivozanib	Tyrosine Kinase Inhibitors|Receptor Tyrosine Kinase Inhibitors	T [Preparations]|Kinase Inhibitor	
5552	hydroxyurea	Nucleic Acid Synthesis Inhibitors|Ribonucleotide Reductase Inhibitors	Antimetabolite|H [Preparations]	Decreased DNA Integrity
5879	interferon alfa-2a	Biological Response Modifiers	I [Preparations]	Cellular Growth Phase Arrest|Increased Cytokine Activity
5880	interferon alfa-2b	Biological Response Modifiers	Interferon alpha|I [Preparations]	Cellular Growth Phase Arrest|Increased Cytokine Activity
5882	interferon gamma-1b	Transcription Factor Activity|Biological Response Modifiers	Interferon gamma|I [Preparations]	Cellular Growth Phase Arrest|Increased Cytokine Activity
732187	pazopanib hydrochloride	Platelet-derived Growth Factor Receptor Inhibitors|Vascular Endothelial Growth Factor Receptor Inhibitors	P [Preparations]	Decreased Endothelial Proliferation|Vascular Growth Decrease
714438	pazopanib	Cytochrome P450 2D6 Inhibitors|Cytochrome P450 3A4 Inhibitors|Cytochrome P450 2C8 Inhibitors|Protein Kinase Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Vascular Endothelial Growth Factor Receptor Inhibitors	P [Preparations]|Kinase Inhibitor	Decreased Endothelial Proliferation|Vascular Growth Decrease
597744	sorafenib tosylate	Kinase Inhibitors	S [Preparations]	Cellular Proliferation Alteration
495881	sorafenib	Protein Kinase Inhibitors|Kinase Inhibitors	S [Preparations]|Kinase Inhibitor	Cellular Proliferation Alteration
616275	sunitinib malate	Protein Kinase Inhibitors|Receptor Tyrosine Kinase Inhibitors	S [Preparations]	Vascular Growth Decrease
1242999	axitinib	Protein Kinase Inhibitors|Receptor Tyrosine Kinase Inhibitors	A [Preparations]|Kinase Inhibitor	Cellular Proliferation Alteration
657797	temsirolimus	Protein Kinase Inhibitors|mTOR Inhibitors	T [Preparations]|Kinase Inhibitor	Cellular Proliferation Alteration
357977	sunitinib	Protein Kinase Inhibitors|Receptor Tyrosine Kinase Inhibitors	S [Preparations]|Kinase Inhibitor	Vascular Growth Decrease
314687	interferon alfa-3n,human leukocyte derived	Biological Response Modifiers	I [Preparations]	Cellular Growth Phase Arrest|Immunologically Active Molecule Activity Alteration|Increased Cytokine Activity
253453	peginterferon alfa-2b	Biological Response Modifiers	P [Preparations]	Vascular Growth Decrease|Cellular Growth Phase Arrest|Increased Cytokine Activity
120608	peginterferon alfa-2a	Biological Response Modifiers|RNA Replicase Inhibitors	Interferon alpha|P [Preparations]	Cellular Growth Phase Arrest|Increased Cytokine Activity|RNA Replication Alteration
72258	recombinant interferon beta-1b	Biological Response Modifiers|Unknown Cellular or Molecular Interaction	R [Preparations]	Increased Lymphocyte Activation|Cellular Growth Phase Arrest|Immunologically Active Molecule Activity Alteration|Increased Cytokine Activity|Increased Phagocytosis|Increased Transcription to RNA
70223	aldesleukin	Interferon Inducers|Interleukin 2 Receptor Agonists	Lymphocyte Growth Factor|A [Preparations]	Increased Lymphocyte Activation|Increased Cytokine Production|Increased Cytokine Activity|Increased Lymphocyte Cell Production
59744	interferon alfacon-1	Biological Response Modifiers	I [Preparations]	Cellular Growth Phase Arrest|Increased Cytokine Activity
10432	thalidomide	Tumor Necrosis Factor alpha Receptor Blocking Activity|Unknown Cellular or Molecular Interaction	T [Preparations]	Decreased Endothelial Proliferation|Decreased Immunologically Active Molecule Activity
1000112	medroxyprogesterone acetate	Progestational Hormone Receptor Agonists	M [Preparations]	Decreased Follicle Stimulating Hormone Secretion|Decreased Growth Hormone Secretion|Gonadotropin Releasing Hormone Alteration|Inhibit Ovarian Follicular Phase|Stimulate Breast Glandular Development|Inhibit Ovulation
2534245	tivozanib hydrochloride	Receptor Tyrosine Kinase Inhibitors	T [Preparations]	
6691	medroxyprogesterone	Progestational Hormone Receptor Agonists	Progestin|M [Preparations]	Decreased Follicle Stimulating Hormone Secretion|Decreased Growth Hormone Secretion|Gonadotropin Releasing Hormone Alteration|Inhibit Ovarian Follicular Phase|Stimulate Breast Glandular Development|Inhibit Ovulation
203132	papaverine hydrochloride	Unknown Cellular or Molecular Interaction	P [Preparations]	Vasodilation|Smooth Muscle Tone Alteration
203210	prazosin hydrochloride	Adrenergic alpha-Antagonists	P [Preparations]	Decreased Blood Pressure|Arterial Vasodilation|Decreased Bladder Sphincter Tone|Venous Vasodilation
158387	papaverine codecarboxylate	Unknown Cellular or Molecular Interaction	P [Preparations]	Vasodilation|Smooth Muscle Tone Alteration
153679	lercanidipine hydrochloride	Calcium Channel Antagonists	L [Preparations]	Decreased Blood Pressure|Coronary Arterial Vasodilation
235450	tolazoline hydrochloride	Adrenergic alpha-Antagonists	T [Preparations]	Systemic Arterial Vasodilation
135056	lercanidipine	Calcium Channel Antagonists	L [Preparations]	Decreased Blood Pressure|Coronary Arterial Vasodilation
82033	isoxsuprine hydrochloride	Adrenergic beta-Agonists	I [Preparations]	Decreased Smooth Muscle Organized Electrical Activity|Systemic Arterial Vasodilation
82060	nylidrin hydrochloride	Calcium Channel Antagonists|Adrenergic beta-Agonists|Adrenergic beta-Antagonists	N [Preparations]	Arterial Vasodilation
1998	captopril	Angiotensin-converting Enzyme Inhibitors	Angiotensin Converting Enzyme Inhibitor|C [Preparations]	Decreased Blood Pressure|Decreased Bradykinin Degradation|Decreased Intravascular Volume|Decreased Mineralocorticoid Secretion|Decreased Renal K+ Excretion|Increased Renal Na+ Excretion|Renal Arterial Vasodilation
10634	tolazoline	Adrenergic alpha-Antagonists	T [Preparations]	Systemic Arterial Vasodilation
7895	papaverine	Unknown Cellular or Molecular Interaction	P [Preparations]	Vasodilation|Smooth Muscle Tone Alteration
8629	prazosin	Adrenergic alpha-Antagonists	alpha-Adrenergic Blocker|P [Preparations]	Decreased Blood Pressure|Arterial Vasodilation|Decreased Bladder Sphincter Tone|Venous Vasodilation
7595	nylidrin	Calcium Channel Antagonists|Adrenergic beta-Agonists	N [Preparations]	Arterial Vasodilation
6066	isoxsuprine	Adrenergic beta-Agonists	I [Preparations]	Decreased Smooth Muscle Organized Electrical Activity|Systemic Arterial Vasodilation
1487143	sucralfate malate	Binding Activity	S [Preparations]	Gastric Acid Alteration
1435522	esomeprazole strontium	Proton Pump Inhibitors	E [Preparations]	Inhibition Gastric Acid Secretion
1297882	amoxicillin anhydrous	Transpeptidase Inhibitors	Penicillin-class Antibacterial|A [Preparations]	Decreased Cell Wall Synthesis & Repair
4278	famotidine	Histamine H2 Receptor Antagonists	Histamine-2 Receptor Antagonist|F [Preparations]	Decreased Histamine Activity|Inhibition Gastric Acid Secretion
1294569	esomeprazole sodium	Proton Pump Inhibitors	E [Preparations]	Inhibition Gastric Acid Secretion
283562	esomeprazole magnesium	Proton Pump Inhibitors	E [Preparations]	Inhibition Gastric Acid Secretion
283742	esomeprazole	Cytochrome P450 2C19 Inhibitors|Proton Pump Inhibitors	Proton Pump Inhibitor|E [Preparations]	Inhibition Gastric Acid Secretion
236328	maprotiline mesylate	Norepinephrine Uptake Inhibitors	M [Preparations]	Increased Norepinephrine Activity
236486	omeprazole magnesium	Proton Pump Inhibitors	O [Preparations]	Inhibition Gastric Acid Secretion
267360	amoxicillin sodium	Transpeptidase Inhibitors	A [Preparations]	Decreased Cell Wall Synthesis & Repair
203126	maprotiline hydrochloride	Norepinephrine Uptake Inhibitors	M [Preparations]	Increased Norepinephrine Activity
203136	ranitidine hydrochloride	Histamine H2 Receptor Antagonists	R [Preparations]	Decreased Histamine Activity|Inhibition Gastric Acid Secretion
226868	rabeprazole sodium	Proton Pump Inhibitors	R [Preparations]	Inhibition Gastric Acid Secretion
235775	pirenzepine hydrochloride	Cholinergic Muscarinic Antagonists	P [Preparations]	Inhibition Gastric Mucous Secretion
1792108	omeprazole sodium	Proton Pump Inhibitors	O [Preparations]	Inhibition Gastric Acid Secretion
133008	amoxicillin trihydrate	Transpeptidase Inhibitors	A [Preparations]	Decreased Cell Wall Synthesis & Repair
114979	rabeprazole	Proton Pump Inhibitors	Proton Pump Inhibitor|R [Preparations]	Inhibition Gastric Acid Secretion
2541	cimetidine	Histamine H2 Receptor Antagonists	Histamine-2 Receptor Antagonist|C [Preparations]	Decreased Histamine Activity|Inhibition Gastric Acid Secretion
81948	aluminum hydroxide, dried (USP)	Electrolyte Activity|Acid-Base Activity	A [Preparations]	Antacid|Increased Renal PO4-- Excretion
89858	aluminum carbonate	Electrolyte Activity|Acid-Base Activity	A [Preparations]	Antacid|Increased Renal PO4-- Excretion
91251	cimetidine hydrochloride	Histamine H2 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity|Inhibition Gastric Acid Secretion
1897	calcium carbonate	Phosphate Chelating Activity|Acid-Base Activity|Electrolyte Activity	C [Preparations]	Bone Resorption Alteration|Gastric Acid Alteration|Increased Renal PO4-- Excretion
47618	calcium gluceptate	Phosphate Chelating Activity|Electrolyte Activity|Acid-Base Activity	C [Preparations]	Bone Resorption Alteration|Gastric Acid Alteration|Increased Renal PO4-- Excretion
18789	basic aluminum carbonate gel	Acid-Base Activity|Electrolyte Activity	B [Preparations]	Antacid|Increased Renal PO4-- Excretion
55471	ranitidine bismuth citrate	Histamine H2 Receptor Antagonists	R [Preparations]	Decreased Histamine Activity|Inhibition Gastric Acid Secretion
